dataset,measure,stat.o,p.value
EWAS25,sd.m,4.855012369,0.146
EWAS26,chr,2.658038171,0.323
EWAS26,cpg.loc,1.431648777,0.712
EWAS26,dhs,1.001596175,0.793
EWAS26,dip,4.059203351,0.291
EWAS26,direction,1.835090823,0.5
EWAS26,mad,10.45609353,0.001
EWAS26,mean,12.15040846,0.001
EWAS26,precision,7.487428869,0.014
EWAS26,probe.type,1.311492571,0.693
EWAS26,refgene.pos,1.927594721,0.531
EWAS26,sd.b,9.599412501,0.003
EWAS26,sd.m,6.526665426,0.039
EWAS27,chr,1.237964277,0.772
EWAS27,cpg.loc,7.133325361,0.017
EWAS27,dhs,6.233426218,0.015
EWAS27,dip,4.744202985,0.169
EWAS27,direction,1.670820379,0.569
EWAS27,mad,84.08073976,0.001
EWAS27,mean,66.8102066,0.001
EWAS27,precision,74.47544742,0.001
EWAS27,probe.type,6.904095206,0.006
EWAS27,refgene.pos,2.475735183,0.356
EWAS27,sd.b,82.57691064,0.001
EWAS27,sd.m,52.01367574,0.001
EWAS28,chr,1.200110432,0.815
EWAS28,cpg.loc,7.125064218,0.005
EWAS28,dhs,6.421290058,0.013
EWAS28,dip,3.041804148,0.565
EWAS28,direction,2.794822871,0.228
EWAS28,mad,213.1036042,0.001
EWAS28,mean,198.8275004,0.001
EWAS28,precision,175.6063832,0.001
EWAS28,probe.type,4.106560107,0.068
EWAS28,refgene.pos,7.02414128,0.006
EWAS28,sd.b,206.4359645,0.001
EWAS28,sd.m,66.55087808,0.001
EWAS29,chr,1.352540802,0.746
EWAS29,cpg.loc,0.953492094,0.868
EWAS29,dhs,0.75273375,0.917
EWAS29,dip,4.36142432,0.243
EWAS29,direction,1.981734167,0.432
EWAS29,mad,7.109256013,0.026
EWAS29,mean,5.195224931,0.125
EWAS29,precision,5.947603247,0.06
EWAS29,probe.type,0.741983169,0.908
EWAS29,refgene.pos,1.398048596,0.706
EWAS29,sd.b,5.923570917,0.084
EWAS29,sd.m,7.054004102,0.026
EWAS30,chr,2.902661832,0.235
EWAS30,cpg.loc,3.405516356,0.164
EWAS30,dhs,1.844662311,0.389
EWAS30,dip,5.546782505,0.075
EWAS30,direction,1.559440842,0.571
EWAS30,mad,12.54878245,0.002
EWAS30,mean,9.089874834,0.007
EWAS30,precision,7.459116323,0.026
EWAS30,probe.type,2.262829804,0.314
EWAS30,refgene.pos,1.955137547,0.473
EWAS30,sd.b,10.66838399,0.002
EWAS30,sd.m,6.184105285,0.056
EWAS31,chr,2.258209183,0.418
EWAS31,cpg.loc,5.027459966,0.045
EWAS31,dhs,2.636720442,0.246
EWAS31,dip,5.162538645,0.117
EWAS31,direction,2.203800367,0.351
EWAS31,mad,5.577964891,0.079
EWAS31,mean,5.105287011,0.125
EWAS31,precision,13.08568132,0.001
EWAS31,probe.type,12.40960728,0.001
EWAS31,refgene.pos,3.66665045,0.145
EWAS31,sd.b,8.483569468,0.008
EWAS31,sd.m,8.944361945,0.008
EWAS32,chr,3.668376974,0.129
EWAS32,cpg.loc,3.862997938,0.107
EWAS32,dhs,1.316597176,0.658
EWAS32,dip,6.525874933,0.058
EWAS32,direction,2.769983825,0.205
EWAS32,mad,3.838299031,0.353
EWAS32,mean,11.56731743,0.001
EWAS32,precision,22.21016958,0.001
EWAS32,probe.type,2.259118958,0.299
EWAS32,refgene.pos,6.232739399,0.014
EWAS32,sd.b,24.61094357,0.001
EWAS32,sd.m,23.71990492,0.001
EWAS33,chr,2.62678045,0.333
EWAS33,cpg.loc,10.14018372,0.002
EWAS33,dhs,2.423771622,0.317
EWAS33,dip,2.544975573,0.74
EWAS33,mad,11.73081053,0.001
EWAS33,mean,33.20991979,0.001
EWAS33,precision,16.58729395,0.002
EWAS33,probe.type,8.940624862,0.003
EWAS33,refgene.pos,10.41260314,0.002
EWAS33,sd.b,14.49727488,0.001
EWAS33,sd.m,19.88939433,0.001
EWAS34,chr,3.991167759,0.109
EWAS34,cpg.loc,3.966021859,0.101
EWAS34,dhs,1.110395498,0.821
EWAS34,dip,3.435274701,0.457
EWAS34,direction,7.800707788,0.001
EWAS34,mad,3.132833098,0.559
EWAS34,mean,9.344703804,0.003
EWAS34,precision,3.4080188,0.478
EWAS34,probe.type,2.073263951,0.401
EWAS34,refgene.pos,3.060838521,0.246
EWAS34,sd.b,4.354057623,0.276
EWAS34,sd.m,5.059734407,0.132
EWAS35,chr,4.507536203,0.091
EWAS35,cpg.loc,5.884062461,0.021
EWAS35,dhs,6.29251513,0.013
EWAS35,dip,2.977941246,0.608
EWAS35,direction,6.192331191,0.006
EWAS35,mad,100.5133041,0.001
EWAS35,mean,97.9166579,0.001
EWAS35,precision,63.53786056,0.001
EWAS35,probe.type,5.638879781,0.015
EWAS35,refgene.pos,8.753097464,0.002
EWAS35,sd.b,99.97152721,0.001
EWAS35,sd.m,27.47671946,0.001
EWAS36,chr,2.116763741,0.467
EWAS36,cpg.loc,1.899489914,0.542
EWAS36,dhs,1.722353293,0.545
EWAS36,dip,6.819117624,0.035
EWAS36,direction,0.736192842,0.919
EWAS36,icc.b,4.332042275,0.214
EWAS36,icc.m,5.795026539,0.08
EWAS36,mad,5.880859143,0.078
EWAS36,mean,4.383437531,0.252
EWAS36,precision,5.978464069,0.069
EWAS36,probe.type,4.126281033,0.053
EWAS36,refgene.pos,1.394631758,0.703
EWAS36,sd.b,6.039793997,0.05
EWAS36,sd.m,7.290905864,0.028
EWAS37,chr,2.702653941,0.305
EWAS37,cpg.loc,13.67122776,0.001
EWAS37,dhs,2.735195906,0.211
EWAS37,dip,2.841036594,0.682
EWAS37,direction,2.326810054,0.324
EWAS37,mad,38.69768157,0.001
EWAS37,mean,62.33630921,0.001
EWAS37,precision,26.81525406,0.001
EWAS37,probe.type,2.304920233,0.309
EWAS37,refgene.pos,1.200247049,0.791
EWAS37,sd.b,37.98494598,0.001
EWAS37,sd.m,10.7137439,0.002
EWAS38,chr,5.886742227,0.04
EWAS38,cpg.loc,1.991471827,0.504
EWAS38,dhs,2.449527783,0.262
EWAS38,dip,3.417824967,0.474
EWAS38,mad,5.004016562,0.152
EWAS38,mean,3.204915059,0.506
EWAS38,precision,4.372355631,0.258
EWAS38,probe.type,3.888297864,0.073
EWAS38,refgene.pos,0.932005894,0.885
EWAS38,sd.b,6.143885007,0.059
EWAS38,sd.m,2.521959435,0.774
EWAS39,chr,0.622816326,0.957
EWAS39,cpg.loc,0.794420487,0.924
EWAS39,dhs,1.13066488,0.8
EWAS39,dip,1.519812278,0.985
EWAS39,direction,4.60337936,0.035
EWAS39,mad,13.19826556,0.001
